--- ==================================================================================================
--- Cuts                          Classifier   (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg
--- --------------------------------------------------------------------------------------------------
--- GEta_comPhi       BDTG:  (        6,    12000)      -0.7156      0.05476         6  11999.39        1   0.9999
--- comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6685    0.0547654  5.994983  11976.94   0.9992   0.9981
--- comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6737    0.0547813  5.994609   11968.5   0.9991   0.9974
--- comPhi_l2Eta       BDTG:  (        6,    12000)      -0.6113    0.0547903  5.994226  11963.02    0.999   0.9969
--- l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6134    0.0547972  5.968508  11857.59   0.9948   0.9881
--- smallTheta_GEta       BDTG:  (        6,    12000)      -0.6889     0.054826  5.971922  11858.67   0.9953   0.9882
--- smallTheta_comPhi_GEta       BDTG:  (        6,    12000)      -0.6917    0.0548465  5.975654  11864.66   0.9959   0.9887
--- smallTheta_l2Eta       BDTG:  (        6,    12000)      -0.6872    0.0548546  5.981416  11884.02   0.9969   0.9903
--- GEta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.7320    0.0548693  5.999479   11949.5   0.9999   0.9958
--- smallTheta_comPhi       BDTG:  (        6,    12000)      -0.6691     0.054887  5.978272  11857.49   0.9964   0.9881
--- smallTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6802    0.0548889   5.98782  11894.61    0.998   0.9912
--- smallTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.7235    0.0549007  5.992139  11906.64   0.9987   0.9922
--- smallTheta_l2Eta_GEta       BDTG:  (        6,    12000)      -0.6599    0.0549116  5.945425  11717.03   0.9909   0.9764
--- smallTheta_comPhi_l2Eta_GEta       BDTG:  (        6,    12000)      -0.6711    0.0549237  5.966855  11796.45   0.9945    0.983
--- GEta_l2Eta       BDTG:  (        6,    12000)      -0.6630    0.0549304  5.960048  11766.68   0.9933   0.9806
--- smallTheta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6941    0.0549387  5.987551  11871.96   0.9979   0.9893
--- smallTheta_l1Eta       BDTG:  (        6,    12000)      -0.6278    0.0549512   5.94273  11689.51   0.9905   0.9741
--- smallTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6454      0.05497  5.973479  11802.77   0.9956   0.9836
--- smallTheta_comPhi_l1Eta_GEta       BDTG:  (        6,    12000)      -0.6511    0.0551349  5.947363  11629.82   0.9912   0.9692
--- GEta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6624    0.0551575   5.94449  11609.08   0.9907   0.9674
--- smallTheta_l1Eta_GEta       BDTG:  (        6,    12000)      -0.5980    0.0552126  5.849658  11219.12   0.9749   0.9349
--- bigTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.5987    0.0553606  5.837909  11114.37    0.973   0.9262
--- GEta_l1Eta       BDTG:  (        6,    12000)      -0.6889    0.0553901   5.95613  11556.88   0.9927   0.9631
--- GEta_bigTheta_comPhi       BDTG:  (        6,    12000)      -0.6758    0.0554165   5.89875  11324.39   0.9831   0.9437
--- bigTheta_comPhi       BDTG:  (        6,    12000)      -0.6882    0.0554273  5.892522   11296.1   0.9821   0.9413
--- smallTheta_comPhi_l2Eta_l1Eta_GEta       BDTG:  (        6,    12000)      -0.6004    0.0554298  5.898801  11319.16   0.9831   0.9433
--- bigTheta_l2Eta       BDTG:  (        6,    12000)      -0.6294    0.0554517  5.856734  11149.44   0.9761   0.9291
--- smallTheta_l1Eta_l2Eta_GEta       BDTG:  (        6,    12000)      -0.5504      0.05546  5.763757  10794.91   0.9606   0.8996
--- smallTheta_bigTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.5558    0.0554944  5.760304  10768.64   0.9601   0.8974
--- GEta_bigTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.6742    0.0555011  5.904901  11313.47   0.9842   0.9428
--- smallTheta_bigTheta_comPhi_GEta       BDTG:  (        6,    12000)      -0.6451    0.0555324  5.849222  11088.53   0.9749    0.924
--- smallTheta_bigTheta_comPhi       BDTG:  (        6,    12000)      -0.5482     0.055548   5.75694  10735.29   0.9595   0.8946
--- smallTheta_bigTheta_GEta       BDTG:  (        6,    12000)      -0.6225    0.0555815  5.784552  10825.48   0.9641   0.9021
--- smallTheta_bigTheta       BDTG:  (        6,    12000)      -0.5444    0.0555849  5.749345  10692.77   0.9582   0.8911
--- GEta_bigTheta       BDTG:  (        6,    12000)      -0.6420    0.0555951  5.828771  10986.27   0.9715   0.9155
--- smallTheta_bigTheta_l2Eta       BDTG:  (        6,    12000)      -0.5545    0.0555985  5.743771   10666.8   0.9573   0.8889
--- GEta_bigTheta_l2Eta       BDTG:  (        6,    12000)      -0.6463    0.0556333  5.838017  11006.02    0.973   0.9172
--- bigTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6434    0.0556461  5.923184  11324.38   0.9872   0.9437
--- bigTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6302    0.0556529  5.905471  11253.98   0.9842   0.9378
--- bigTheta_l1Eta       BDTG:  (        6,    12000)      -0.6764    0.0556558  5.939717  11383.72     0.99   0.9486
--- smallTheta_bigTheta_l2Eta_comPhi_GEta       BDTG:  (        6,    12000)      -0.5820    0.0556649  5.689974  10442.91   0.9483   0.8702
--- bigTheta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6096    0.0556945  5.874181  11118.37    0.979   0.9265
--- smallTheta_bigTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6401     0.055717  5.894276  11185.53   0.9824   0.9321
--- smallTheta_bigTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5868    0.0557397  5.819883  10896.02     0.97    0.908
